key,nl,en
HINTS_5.4,Veel stress is een belangrijk detail. Ook hier moet je goed kijken naar de gekregen informatie over de chemische en biologische analyse en dit dan goed zien te koppelen aan de juiste vingerafdrukken.,"A lot of stress is an important detail. Here too, you must carefully examine the given information from the chemical and biological analysis and correctly link it to the right fingerprints."
HINTS_5.5,Afdruk C bevat veel stresszweet,Fingerprint C contains a lot of stress sweat
HINTS_5.6,index is dus 03 en soms extra detail 12 dus de code is 0312,"So the index is 03 and sometimes an extra detail 12, so the code is 0312"
UI_SCORE,Tijd: {time} | Fouten: {wrong} | Hints: {hints},Time: {time} | Errors: {wrong} | Hints: {hints}
UI_TOT_SCORE,Totale statistieken:\n\nTotale tijd: %d \nTotaal aantal verkeerde pogingen: %d \nTotaal aantal hints: %d,Total statistics:\n\nTotal time: %d\nTotal number of incorrect attempts:%d\nTotal number of hints: %d
UI_TITLE,Bedankt voor het spelen!,Thanks for playing!
INSTRUCTION_1,Met een bepaald gas kan de Bloedtak buiten bewustzijn raken voor een tijdje. Dit is het fictieve gas: Aetherol. Jullie moeten dit gas via de gasleiding in de juiste hoeveelheid zien binnen te brengen in de ruimte waar de Bloedtak zit. Bereken de concentratie van Aetherol in de lucht die er nodig is om de Bloedtak tijdelijk uit te schakelen.\n\nGebruik de tabel hiernaast.,A certain gas can render the Blood Branch unconscious for a short time. This is the fictional gas: Aetherol. You must introduce this gas into the room where the Blood Branch is located through the gas pipeline in the correct quantities. Calculate the concentration of Aetherol in the air required to temporarily disable the Blood Branch.\n\nUse the table on the right.
INSTRUCTION_2.1,"Het lijkt misschien alsof er geen kracht op de sensor staat wanneer niemand hem aanraakt.\nMaar vergis je niet: zelfs lucht heeft massa.\nEn juist die massa hebben jullie nodig om te berekenen welke spanning het systeembord moet krijgen.\nZodra jullie de massa hebben berekend die op de sensor drukt, moeten jullie de functieformule gebruiken om verder te komen.\nAlleen dan kunnen jullie de juiste spanning bepalen… en het alarm activeren.\nSucces!\nDe kamer is een vierkant (5/5/5 m).\nDe sensor is (1/1/5 m).\nDe dichtheid van de lucht is 1,293 kg/m^3.\nFunctieformule: y = 0,2 * x + 0,5\n-Y = de juiste spanning\n-X = de berekende massa\nVoer je antwoord in V.","It may seem as if there is no force on the sensor when no one touches it.\nBut don’t be mistaken: even air has mass.\nAnd it is precisely that mass that you need to calculate the voltage the system board must receive.\nOnce you have calculated the mass pressing on the sensor, you must use the function formula to proceed.\nOnly then can you determine the correct voltage… and activate the alarm.\nGood luck!\nThe room is a square (5/5/5 m).\nThe sensor is (1/1/5 m).\nThe density of air is 1.293 kg/m^3.\nFunction formula: y = 0.2 * x + 0.5\n-Y = the correct voltage\n-X = the calculated mass\nEnter your answer in V."
INSTRUCTION_2.2,"Eerst moeten jullie de [b]drukschakelaar[/b] gebruiken om het systeembord überhaupt aan te zetten.\nDaarnaast is er nog iets interessants: de [b]comparator[/b].\nDeze meet de spanning, en als de ingevoerde spanning lager is dan de ingestelde spanning op de comparator, zal het systeembord niet werken.\n(Deze moeten jullie dus ook correct verbinden.)\n\nBedenk tot slot dat er pas geluid klinkt wanneer beide onderdelen samenwerken: de schakelaar is ingedrukt én de comparator ontvangt dezelfde spanning als de invoer.\nGebruik je hersenpower, succes!!!","First, you need to use the [b]pressure switch[/b] to turn on the system board at all.\nAdditionally, there is something else interesting: the [b]comparator[/b].\nThis measures the voltage, and if the input voltage is lower than the set voltage on the comparator, the system board will not work.\n(So you also need to connect this correctly.)\n\nFinally, keep in mind that sound will only occur when both components work together: the switch is pressed **and** the comparator receives the same voltage as the input.\nUse your brainpower, good luck!!!"
INSTRUCTION_2.3,"Jullie moeten de juiste draden verbinden zodat het systeembord sterke en irritante geluid geeft zodra de aan-knop wordt ingedrukt én de juiste spanning wordt doorgestuurd.\nWe zijn vandaag heel lief, dus één hint krijgen jullie alvast: er worden maar 4 draden gebruikt.\n\nDe rest moeten jullie zelf uitvogelen…","You need to connect the correct wires so that the system board produces a strong and annoying sound as soon as the power button is pressed **and** the correct voltage is sent through.\nWe’re being very nice today, so here’s one hint: only 4 wires are used.\n\nThe rest you’ll have to figure out yourselves…"
INSTRUCTION_3.0,Q10-regel:\n\n Bij een temperatuurverschil van 10 °C neemt het aantal actieve eenheden met een bepaalde verhouding toe. In dit geval verdubbelt het aantal actieve eenheden bij een temperatuurstijging van 10 °C.,"Q10 rule: \n With a temperature difference of 10°C, the number of active units increases by a certain ratio. In this case, the number of active units doubles with a 10°C increase."
INSTRUCTION_4,De Bloedtak is geobsedeerd door het getal 3 en vermenigvuldiging. Klik op alle veelvouden van 3 om verder te gaan!,The Blood Branch is obsessed with the number 3 and multiplication. Click on all the multiples of 3 to continue!
INSTRUCTION,Opdracht,Instruction
INSTRUCTION_ANSWER_1,Voer je antwoord in mg/m^3:,Enter your answer in mg/m^3:
dialogue/1_ending_1,*laat het gas binnenin ontsnappen via de ventilator*,*let the gas escape inside through the fan*
dialogue/1_ending_2,"Oké, nu ze allemaal slapen, laten we naar binnen gaan!","Okay, now that they’re all asleep, let’s go inside!"
dialogue/2_ending_1,Geweldig! Nu kunnen we Kamilla gaan opzoeken.,Great! Now we can go find Kamilla.
dialogue/2_ending_2,Als we de beveiligingscontrole kamer kunnen vinden zouden we de coordinaten van Kamilla kunnen krijgen.,If we can find the security control room we could get Kamilla’s coordinates.
dialogue/2_no_power_1,Er is geen stroom.,There is no power.
dialogue/1_ventilation_1,Dit is de ventilatie.,This is the ventilation.
dialogue/1_start_1,Jullie hebben nu de duistere organisatie: ''De Bloedtak'' gelokaliseerd.,You have now located the dark organization “The Blood Branch.”
dialogue/1_start_2,Jullie weten dat professor Kamilla Anderson ook binnen in dit gebouw zit. Maar hoe kunnen jullie onopgemerkt de professor bevrijden zonder dat De Bloedtak jullie vindt?,You know that Professor Kamilla Anderson is also inside this building. But how can you free her unnoticed without The Blood Branch finding you?
dialogue/1_start_3,Met een bepaald gas valt De Bloedtak voor een tijdje in slaap. Dit is het fictieve gas: Aetherol.,"With a certain gas, The Blood Branch falls asleep for a while. This is the fictional gas: Aetherol."
dialogue/1_start_4,Jullie moeten dit gas via de gasleiding in de juiste hoeveelheid zien binnen te brengen in de ruimte waar de Bloedtak zit.,You must get this gas through the pipeline in the right amount into the room where The Blood Branch is.
dialogue/1_start_5,Kunnen jullie uitvinden welke concentratie Aetherol er in de lucht moet zitten?,Can you figure out what concentration of Aetherol needs to be in the air?
dialogue/3_start_1,"Nu jullie er ook voor gezorgd hebben dat de Bloedtak veilig achter slot en grendel zit, kunnen jullie eindelijk beginnen met het vinden van professor Kamilla Anderson.","Now that you have also made sure The Blood Branch is safely locked up, you can finally start finding Professor Kamilla Anderson."
dialogue/3_start_2,"Maar om haar te vinden, moeten jullie wel weten waar ze gevangen gehouden wordt.","But to find her, you have to know where she’s being held."
dialogue/3_start_3,Jullie moeten de puzzel oplossen om er achter te komen in welke kamer Kamilla gevangen wordt gehouden.,You have to solve the puzzle to find out which room Kamilla is being held in.
dialogue/4_start_1,Mooi! Jullie zijn er achter gekomen in welke kamer Kamilla Anderson wordt vastgehouden.,Nice! You figured out in which room Kamilla Anderson is being held.
dialogue/4_start_2,Het enige wat jullie nu nog moeten doen is naar de kamer toe gaan waar de professor wordt vastgehouden.,The only thing left to do now is go to the room where the professor is being held.
dialogue/4_start_3,Appeltje-eitje zou je zeggen. Of toch niet?…,"Piece of cake, you’d say. Or maybe not?…"
dialogue/4_start_4,Onderweg naar de kamer worden jullie gehinderd door een boobytrap.,On the way to the room you are stopped by a booby trap.
dialogue/4_start_5,Om veilig de boobytrap te passeren moeten jullie een raadsel oplossen en op de goede tegels staan.,To safely get past the booby trap you must solve a riddle and stand on the right tiles.
dialogue/4_start_6,Het raadsel gaat als volgt:,The riddle goes like this:
dialogue/4_start_7,De Bloedtak is gek op het getal 3 en vermenigvuldigingen. Weten jullie welke tegels de juiste zijn? Succes!,The Blood Branch loves the number 3 and multiplications. Do you know which tiles are correct? Good luck!
dialogue/2_start_1,Goed gedaan!,Well done!
dialogue/2_start_2,"Oké, luister goed.","Okay, listen carefully."
dialogue/2_start_3,De gasten van De Bloedtak liggen nu nog te slapen in hun kamer...,The guys from the Blood Branch are still sleeping in their room...
dialogue/2_start_4,Maar niemand weet hoe lang het slaapmiddel blijft werken. Dus jullie moeten meteen een alarm in elkaar zetten zodat we het merken als iemand begint te bewegen.,But nobody knows how long the sedative will keep working. So you must immediately set up an alarm so we notice when someone starts moving.
dialogue/2_start_5,Schiet op - voordat ze wakker worden.,Hurry — before they wake up.
dialogue/5.1_start_1,Jullie hebben succesvol de actieve lasers uitgeschakeld. Goed bezig!,You’ve successfully disabled the active lasers. Good job!
dialogue/5.1_start_2,Jullie kunnen bijna de professor bevrijden en de wereld redden.,You can almost free the professor and save the world.
dialogue/5.1_start_3,Maar er is nog een taak die jullie moeten uitvoeren en dat is de code zien te ontrafelen voor het beveiligingsslot op de deur.,But there is still one task you must perform: you have to decipher the code for the security lock on the door.
dialogue/5.1_start_4,"Als jullie die hebben gevonden, kunnen jullie de deur openen en de professor bevrijden. Succes!","Once you’ve found it, you can open the door and free the professor. Good luck!"
dialogue/5.0_start_1,"Pff, die boobytrap hebben jullie mooi zien te ontwijken. Klasse!","Phew, you managed to avoid that booby trap nicely. Classy!"
dialogue/5.0_start_2,Dan kunnen jullie nu echt de professor bevrijden.,Then you can really free the professor now.
dialogue/5.0_start_3,Jullie lopen door de gangen en komen aan voor de kamer waar de professor in vastgehouden wordt.,You walk down the corridors and arrive in front of the room where the professor is being held.
dialogue/5.0_start_4,Maar dat is niet het enige.,But that isn’t all.
dialogue/5.0_start_5,Voor de deur zijn een aantal laserstralen. Die moeten jullie eerst zien uit te schakelen.,There are a number of laser beams in front of the door. You have to disable those first.
dialogue/5.0_start_6,Daarna moeten jullie de code zien te ontrafelen om dan eindelijk de deur naar de professor open te krijgen.,"After that, you have to decipher the code to finally get the door to the professor open."
dialogue/5.0_start_7,Veel succes!,Good luck!
